x,y
2019-12-27T00:00:00Z,5.8771
2019-12-27T01:00:00Z,5.86181
2019-12-27T02:00:00Z,5.45067
2019-12-27T03:00:00Z,4.67752
2019-12-27T04:00:00Z,3.54841
2019-12-27T05:00:00Z,3.73484
2019-12-27T06:00:00Z,4.14552
2019-12-27T07:00:00Z,4.52564
2019-12-27T08:00:00Z,4.66517
2019-12-27T09:00:00Z,4.67852
2019-12-27T10:00:00Z,4.91068
2019-12-27T11:00:00Z,4.69597
2019-12-27T12:00:00Z,4.01023
2019-12-27T13:00:00Z,2.69466
2019-12-27T14:00:00Z,3.10872
2019-12-27T15:00:00Z,2.9906
2019-12-27T16:00:00Z,2.77715
2019-12-27T17:00:00Z,2.3637
2019-12-27T18:00:00Z,1.84702
2019-12-27T19:00:00Z,2.00524
2019-12-27T20:00:00Z,2.17434
2019-12-27T21:00:00Z,2.67191
2019-12-27T22:00:00Z,3.58848
2019-12-27T23:00:00Z,3.76697
2019-12-28T00:00:00Z,3.7771
2019-12-28T01:00:00Z,4.05753
2019-12-28T02:00:00Z,3.63776
2019-12-28T03:00:00Z,2.6582
2019-12-28T04:00:00Z,1.55583
2019-12-28T05:00:00Z,1.10186
2019-12-28T06:00:00Z,1.23521
2019-12-28T07:00:00Z,1.54732
2019-12-28T08:00:00Z,1.64224
2019-12-28T09:00:00Z,1.80988
2019-12-28T10:00:00Z,1.77946
2019-12-28T11:00:00Z,2.01641
2019-12-28T12:00:00Z,2.12124
2019-12-28T13:00:00Z,2.03673
2019-12-28T14:00:00Z,2.08181
2019-12-28T15:00:00Z,2.10032
2019-12-28T16:00:00Z,2.19946
2019-12-28T17:00:00Z,1.85021
2019-12-28T18:00:00Z,0.78413
2019-12-28T19:00:00Z,2.25821
2019-12-28T20:00:00Z,3.12728
2019-12-28T21:00:00Z,3.93445
2019-12-28T22:00:00Z,4.43472
2019-12-28T23:00:00Z,4.70613
2019-12-29T00:00:00Z,4.92349
2019-12-29T01:00:00Z,5.07229
2019-12-29T02:00:00Z,5.14773
2019-12-29T03:00:00Z,4.70287
2019-12-29T04:00:00Z,3.82781
2019-12-29T05:00:00Z,3.46706
2019-12-29T06:00:00Z,3.06118
2019-12-29T07:00:00Z,3.03809
2019-12-29T08:00:00Z,2.82972
2019-12-29T09:00:00Z,2.64209
2019-12-29T10:00:00Z,2.26065
2019-12-29T11:00:00Z,1.16861
2019-12-29T12:00:00Z,2.25841
2019-12-29T13:00:00Z,2.39288
2019-12-29T14:00:00Z,2.37967
2019-12-29T15:00:00Z,2.76499
2019-12-29T16:00:00Z,2.98276
2019-12-29T17:00:00Z,2.5658
2019-12-29T18:00:00Z,1.87834
2019-12-29T19:00:00Z,2.01935
2019-12-29T20:00:00Z,2.75636
2019-12-29T21:00:00Z,3.37778
2019-12-29T22:00:00Z,3.89447
2019-12-29T23:00:00Z,4.40586
2019-12-30T00:00:00Z,4.70133
2019-12-30T01:00:00Z,4.8058
2019-12-30T02:00:00Z,4.5989
2019-12-30T03:00:00Z,4.25093
2019-12-30T04:00:00Z,3.34528
2019-12-30T05:00:00Z,3.13311
2019-12-30T06:00:00Z,3.31387
2019-12-30T07:00:00Z,3.58196
2019-12-30T08:00:00Z,4.07789
2019-12-30T09:00:00Z,4.16078
2019-12-30T10:00:00Z,3.70609
2019-12-30T11:00:00Z,2.70195
2019-12-30T12:00:00Z,1.94162
2019-12-30T13:00:00Z,2.46458
2019-12-30T14:00:00Z,2.47169
2019-12-30T15:00:00Z,2.5825
2019-12-30T16:00:00Z,2.94677
2019-12-30T17:00:00Z,3.27554
2019-12-30T18:00:00Z,3.49159
2019-12-30T19:00:00Z,3.31137
2019-12-30T20:00:00Z,2.97345
2019-12-30T21:00:00Z,2.3875
2019-12-30T22:00:00Z,1.37682
2019-12-30T23:00:00Z,0.869507
2019-12-31T00:00:00Z,1.48135
2019-12-31T01:00:00Z,2.25943
2019-12-31T02:00:00Z,3.08472
2019-12-31T03:00:00Z,3.79793
2019-12-31T04:00:00Z,3.44144
2019-12-31T05:00:00Z,2.9431
2019-12-31T06:00:00Z,2.4297
2019-12-31T07:00:00Z,2.05276
2019-12-31T08:00:00Z,1.89618
2019-12-31T09:00:00Z,1.96486
2019-12-31T10:00:00Z,2.05985
2019-12-31T11:00:00Z,2.01801
2019-12-31T12:00:00Z,1.91167
2019-12-31T13:00:00Z,1.85554
2019-12-31T14:00:00Z,1.75843
2019-12-31T15:00:00Z,1.57959
2019-12-31T16:00:00Z,1.27745
2019-12-31T17:00:00Z,1.41661
2019-12-31T18:00:00Z,1.80673
2019-12-31T19:00:00Z,2.31306
2019-12-31T20:00:00Z,2.87542
2019-12-31T21:00:00Z,3.48522
2019-12-31T22:00:00Z,3.94535
2019-12-31T23:00:00Z,4.19604
2020-01-01T00:00:00Z,4.07156
2020-01-01T01:00:00Z,3.76713
2020-01-01T02:00:00Z,3.53157
2020-01-01T03:00:00Z,3.36324
2020-01-01T04:00:00Z,3.34863
2020-01-01T05:00:00Z,2.94681
2020-01-01T06:00:00Z,3.35584
2020-01-01T07:00:00Z,3.48389
2020-01-01T08:00:00Z,3.07486
2020-01-01T09:00:00Z,2.97592
2020-01-01T10:00:00Z,2.53295
2020-01-01T11:00:00Z,2.40441
2020-01-01T12:00:00Z,2.60387
2020-01-01T13:00:00Z,3.22353
2020-01-01T14:00:00Z,3.96119
2020-01-01T15:00:00Z,4.0356
2020-01-01T16:00:00Z,3.9607
2020-01-01T17:00:00Z,3.64132
2020-01-01T18:00:00Z,2.87908
2020-01-01T19:00:00Z,2.44785
2020-01-01T20:00:00Z,2.51809
2020-01-01T21:00:00Z,2.7269
2020-01-01T22:00:00Z,2.86729
2020-01-01T23:00:00Z,2.90992
2020-01-02T00:00:00Z,2.6131
2020-01-02T01:00:00Z,2.26631
2020-01-02T02:00:00Z,1.83898
2020-01-02T03:00:00Z,1.4527
2020-01-02T04:00:00Z,1.22124
2020-01-02T05:00:00Z,1.25528
2020-01-02T06:00:00Z,1.16383
2020-01-02T07:00:00Z,1.43563
2020-01-02T08:00:00Z,1.708
2020-01-02T09:00:00Z,1.71803
2020-01-02T10:00:00Z,1.59279
2020-01-02T11:00:00Z,1.69444
2020-01-02T12:00:00Z,1.84113
2020-01-02T13:00:00Z,1.79025
2020-01-02T14:00:00Z,1.56523
2020-01-02T15:00:00Z,1.39904
2020-01-02T16:00:00Z,1.21423
2020-01-02T17:00:00Z,1.15519
2020-01-02T18:00:00Z,1.89154
2020-01-02T19:00:00Z,3.03283
2020-01-02T20:00:00Z,4.36983
2020-01-02T21:00:00Z,5.03175
