x,y
2019-12-27T02:00:00Z,373.448
2019-12-27T05:00:00Z,354.99
2019-12-27T08:00:00Z,355.152
2019-12-27T11:00:00Z,360.397
2019-12-27T14:00:00Z,354.184
2019-12-27T17:00:00Z,340.969
2019-12-27T20:00:00Z,333.75
2019-12-27T23:00:00Z,353.917
2019-12-28T02:00:00Z,370.096
2019-12-28T05:00:00Z,330.734
2019-12-28T08:00:00Z,322.279
2019-12-28T11:00:00Z,342.22
2019-12-28T14:00:00Z,343.39
2019-12-28T17:00:00Z,356.218
2019-12-28T20:00:00Z,365.427
2019-12-28T23:00:00Z,380.779
2019-12-29T02:00:00Z,382.688
2019-12-29T05:00:00Z,372.481
2019-12-29T08:00:00Z,354.379
2019-12-29T11:00:00Z,350.108
2019-12-29T14:00:00Z,338.356
2019-12-29T17:00:00Z,327.978
2019-12-29T20:00:00Z,323.854
2019-12-29T23:00:00Z,374.188
2019-12-30T02:00:00Z,363.71
2019-12-30T05:00:00Z,344.131
2019-12-30T08:00:00Z,351.908
2019-12-30T11:00:00Z,343.317
2019-12-30T14:00:00Z,319.506
2019-12-30T17:00:00Z,342.043
2019-12-30T20:00:00Z,350.914
2019-12-30T23:00:00Z,372.885
2019-12-31T02:00:00Z,371.152
2019-12-31T05:00:00Z,366.046
2019-12-31T08:00:00Z,320.359
2019-12-31T11:00:00Z,347.557
2019-12-31T14:00:00Z,361.513
2019-12-31T17:00:00Z,361.916
2019-12-31T20:00:00Z,365.486
2019-12-31T23:00:00Z,377.262
2020-01-01T02:00:00Z,382.148
2020-01-01T05:00:00Z,378.167
2020-01-01T08:00:00Z,369.556
2020-01-01T11:00:00Z,365.056
2020-01-01T14:00:00Z,360.563
2020-01-01T17:00:00Z,352.562
2020-01-01T20:00:00Z,361.031
2020-01-01T23:00:00Z,369.012
2020-01-02T02:00:00Z,379.476
2020-01-02T05:00:00Z,376.919
2020-01-02T08:00:00Z,369.154
2020-01-02T11:00:00Z,362.208
2020-01-02T14:00:00Z,352.605
2020-01-02T17:00:00Z,348.981
2020-01-02T20:00:00Z,354.475
2020-01-02T23:00:00Z,363.82
2020-01-03T02:00:00Z,372.651
2020-01-03T05:00:00Z,370.433
2020-01-03T08:00:00Z,357.541
2020-01-03T11:00:00Z,359.364
2020-01-03T14:00:00Z,338.829
2020-01-03T17:00:00Z,332.836
2020-01-03T20:00:00Z,357.192
2020-01-03T23:00:00Z,360.638
2020-01-04T02:00:00Z,377.836
2020-01-04T05:00:00Z,378.562
