x,y
2020-02-05T00:00:00Z,5.77385
2020-02-05T01:00:00Z,5.61793
2020-02-05T02:00:00Z,5.19343
2020-02-05T03:00:00Z,4.63128
2020-02-05T04:00:00Z,4.2588
2020-02-05T05:00:00Z,4.51975
2020-02-05T06:00:00Z,4.66044
2020-02-05T07:00:00Z,4.63393
2020-02-05T08:00:00Z,4.7085
2020-02-05T09:00:00Z,4.63299
2020-02-05T10:00:00Z,4.42473
2020-02-05T11:00:00Z,4.05761
2020-02-05T12:00:00Z,3.71636
2020-02-05T13:00:00Z,3.29225
2020-02-05T14:00:00Z,3.32523
2020-02-05T15:00:00Z,2.76625
2020-02-05T16:00:00Z,2.54121
2020-02-05T17:00:00Z,2.76276
2020-02-05T18:00:00Z,4.25305
2020-02-05T19:00:00Z,5.14728
2020-02-05T20:00:00Z,5.75214
2020-02-05T21:00:00Z,6.36068
2020-02-05T22:00:00Z,6.50828
2020-02-05T23:00:00Z,6.22455
2020-02-06T00:00:00Z,6.02972
2020-02-06T01:00:00Z,5.77557
2020-02-06T02:00:00Z,5.32323
2020-02-06T03:00:00Z,4.77983
2020-02-06T04:00:00Z,4.12142
2020-02-06T05:00:00Z,3.65993
2020-02-06T06:00:00Z,3.72031
2020-02-06T07:00:00Z,3.40428
2020-02-06T08:00:00Z,3.00498
2020-02-06T09:00:00Z,2.19638
2020-02-06T10:00:00Z,1.96747
2020-02-06T11:00:00Z,2.07743
2020-02-06T12:00:00Z,2.12361
2020-02-06T13:00:00Z,2.10262
2020-02-06T14:00:00Z,1.97767
2020-02-06T15:00:00Z,2.10108
2020-02-06T16:00:00Z,2.38234
2020-02-06T17:00:00Z,2.20882
2020-02-06T18:00:00Z,3.20172
2020-02-06T19:00:00Z,3.96103
2020-02-06T20:00:00Z,4.5726
2020-02-06T21:00:00Z,5.06147
2020-02-06T22:00:00Z,4.89404
2020-02-06T23:00:00Z,4.63693
2020-02-07T00:00:00Z,4.70349
2020-02-07T01:00:00Z,4.63755
2020-02-07T02:00:00Z,4.48711
2020-02-07T03:00:00Z,4.08951
2020-02-07T04:00:00Z,3.68486
2020-02-07T05:00:00Z,3.17838
2020-02-07T06:00:00Z,3.05953
2020-02-07T07:00:00Z,3.03099
2020-02-07T08:00:00Z,2.95904
2020-02-07T09:00:00Z,2.52005
2020-02-07T10:00:00Z,2.16125
2020-02-07T11:00:00Z,1.87482
2020-02-07T12:00:00Z,1.72622
2020-02-07T13:00:00Z,1.64265
2020-02-07T14:00:00Z,1.49696
2020-02-07T15:00:00Z,1.27865
2020-02-07T16:00:00Z,1.20919
2020-02-07T17:00:00Z,1.16235
2020-02-07T18:00:00Z,3.04898
2020-02-07T19:00:00Z,4.56214
2020-02-07T20:00:00Z,5.49925
2020-02-07T21:00:00Z,5.67866
2020-02-07T22:00:00Z,5.58096
2020-02-07T23:00:00Z,5.50319
2020-02-08T00:00:00Z,5.52545
2020-02-08T01:00:00Z,5.42683
2020-02-08T02:00:00Z,5.15839
2020-02-08T03:00:00Z,4.47598
2020-02-08T04:00:00Z,3.59115
2020-02-08T05:00:00Z,3.43472
2020-02-08T06:00:00Z,3.52325
2020-02-08T07:00:00Z,3.85424
2020-02-08T08:00:00Z,4.01312
2020-02-08T09:00:00Z,3.81962
2020-02-08T10:00:00Z,3.50665
2020-02-08T11:00:00Z,2.90567
2020-02-08T12:00:00Z,2.50385
2020-02-08T13:00:00Z,2.10115
2020-02-08T14:00:00Z,1.86103
2020-02-08T15:00:00Z,1.44574
2020-02-08T16:00:00Z,1.44113
2020-02-08T17:00:00Z,1.49088
2020-02-08T18:00:00Z,2.81018
2020-02-08T19:00:00Z,4.13269
2020-02-08T20:00:00Z,5.11831
2020-02-08T21:00:00Z,5.58728
2020-02-08T22:00:00Z,5.41424
2020-02-08T23:00:00Z,5.53344
2020-02-09T00:00:00Z,5.75182
2020-02-09T01:00:00Z,5.59429
2020-02-09T02:00:00Z,5.17022
2020-02-09T03:00:00Z,4.56107
2020-02-09T04:00:00Z,3.94661
2020-02-09T05:00:00Z,3.3611
2020-02-09T06:00:00Z,3.45954
2020-02-09T07:00:00Z,3.30146
2020-02-09T08:00:00Z,3.14325
2020-02-09T09:00:00Z,2.73012
2020-02-09T10:00:00Z,2.46034
2020-02-09T11:00:00Z,2.43557
2020-02-09T12:00:00Z,2.34146
2020-02-09T13:00:00Z,2.27544
2020-02-09T14:00:00Z,2.08365
2020-02-09T15:00:00Z,1.52649
2020-02-09T16:00:00Z,1.21201
2020-02-09T17:00:00Z,1.71336
2020-02-09T18:00:00Z,3.3381
2020-02-09T19:00:00Z,4.48309
2020-02-09T20:00:00Z,5.69804
2020-02-09T21:00:00Z,6.07303
2020-02-09T22:00:00Z,5.94613
2020-02-09T23:00:00Z,5.72489
2020-02-10T00:00:00Z,5.3167
2020-02-10T01:00:00Z,5.03829
2020-02-10T02:00:00Z,4.86943
2020-02-10T03:00:00Z,4.5274
2020-02-10T04:00:00Z,4.06466
2020-02-10T05:00:00Z,3.71182
2020-02-10T06:00:00Z,3.32389
2020-02-10T07:00:00Z,3.21036
2020-02-10T08:00:00Z,2.97919
2020-02-10T09:00:00Z,2.56951
2020-02-10T10:00:00Z,2.63372
2020-02-10T11:00:00Z,2.70621
2020-02-10T12:00:00Z,2.58058
2020-02-10T13:00:00Z,2.35355
2020-02-10T14:00:00Z,1.94535
2020-02-10T15:00:00Z,1.97742
2020-02-10T16:00:00Z,2.237
2020-02-10T17:00:00Z,2.6742
2020-02-10T18:00:00Z,4.0416
2020-02-10T19:00:00Z,5.91562
2020-02-10T20:00:00Z,6.93086
2020-02-10T21:00:00Z,7.42818
2020-02-10T22:00:00Z,7.66892
2020-02-10T23:00:00Z,7.44043
2020-02-11T00:00:00Z,6.79128
2020-02-11T01:00:00Z,6.05656
2020-02-11T02:00:00Z,5.33516
2020-02-11T03:00:00Z,4.7962
2020-02-11T04:00:00Z,4.15766
2020-02-11T05:00:00Z,3.4443
2020-02-11T06:00:00Z,3.17897
2020-02-11T07:00:00Z,3.17543
2020-02-11T08:00:00Z,3.17735
2020-02-11T09:00:00Z,2.8928
2020-02-11T10:00:00Z,2.68094
2020-02-11T11:00:00Z,2.33786
2020-02-11T12:00:00Z,2.1325
2020-02-11T13:00:00Z,2.28951
