x,y
2020-02-05T00:00:00Z,294.369
2020-02-05T01:00:00Z,294.378
2020-02-05T02:00:00Z,294.153
2020-02-05T03:00:00Z,293.565
2020-02-05T04:00:00Z,292.885
2020-02-05T05:00:00Z,292.057
2020-02-05T06:00:00Z,291.778
2020-02-05T07:00:00Z,291.772
2020-02-05T08:00:00Z,291.463
2020-02-05T09:00:00Z,291.193
2020-02-05T10:00:00Z,291.011
2020-02-05T11:00:00Z,290.778
2020-02-05T12:00:00Z,290.8
2020-02-05T13:00:00Z,290.862
2020-02-05T14:00:00Z,291.027
2020-02-05T15:00:00Z,291.211
2020-02-05T16:00:00Z,291.318
2020-02-05T17:00:00Z,291.697
2020-02-05T18:00:00Z,293.161
2020-02-05T19:00:00Z,293.914
2020-02-05T20:00:00Z,294.264
2020-02-05T21:00:00Z,294.317
2020-02-05T22:00:00Z,294.159
2020-02-05T23:00:00Z,293.892
2020-02-06T00:00:00Z,293.831
2020-02-06T01:00:00Z,293.673
2020-02-06T02:00:00Z,293.539
2020-02-06T03:00:00Z,293.13
2020-02-06T04:00:00Z,292.418
2020-02-06T05:00:00Z,291.39
2020-02-06T06:00:00Z,291.048
2020-02-06T07:00:00Z,290.94
2020-02-06T08:00:00Z,290.785
2020-02-06T09:00:00Z,290.687
2020-02-06T10:00:00Z,290.833
2020-02-06T11:00:00Z,291.342
2020-02-06T12:00:00Z,291.719
2020-02-06T13:00:00Z,291.727
2020-02-06T14:00:00Z,291.594
2020-02-06T15:00:00Z,291.266
2020-02-06T16:00:00Z,290.903
2020-02-06T17:00:00Z,291.038
2020-02-06T18:00:00Z,292.154
2020-02-06T19:00:00Z,292.803
2020-02-06T20:00:00Z,293.24
2020-02-06T21:00:00Z,293.462
2020-02-06T22:00:00Z,293.574
2020-02-06T23:00:00Z,293.739
2020-02-07T00:00:00Z,294.001
2020-02-07T01:00:00Z,294.117
2020-02-07T02:00:00Z,294.004
2020-02-07T03:00:00Z,293.75
2020-02-07T04:00:00Z,293.159
2020-02-07T05:00:00Z,292.132
2020-02-07T06:00:00Z,291.729
2020-02-07T07:00:00Z,291.623
2020-02-07T08:00:00Z,291.564
2020-02-07T09:00:00Z,291.617
2020-02-07T10:00:00Z,291.478
2020-02-07T11:00:00Z,291.165
2020-02-07T12:00:00Z,290.884
2020-02-07T13:00:00Z,290.716
2020-02-07T14:00:00Z,290.683
2020-02-07T15:00:00Z,290.728
2020-02-07T16:00:00Z,290.82
2020-02-07T17:00:00Z,291.442
2020-02-07T18:00:00Z,293.003
2020-02-07T19:00:00Z,294.034
2020-02-07T20:00:00Z,294.478
2020-02-07T21:00:00Z,294.5
2020-02-07T22:00:00Z,294.646
2020-02-07T23:00:00Z,294.731
2020-02-08T00:00:00Z,294.974
2020-02-08T01:00:00Z,295.054
2020-02-08T02:00:00Z,294.822
2020-02-08T03:00:00Z,294.333
2020-02-08T04:00:00Z,293.511
2020-02-08T05:00:00Z,292.74
2020-02-08T06:00:00Z,292.312
2020-02-08T07:00:00Z,292.217
2020-02-08T08:00:00Z,292.106
2020-02-08T09:00:00Z,291.844
2020-02-08T10:00:00Z,291.466
2020-02-08T11:00:00Z,291.133
2020-02-08T12:00:00Z,290.764
2020-02-08T13:00:00Z,290.512
2020-02-08T14:00:00Z,290.439
2020-02-08T15:00:00Z,290.422
2020-02-08T16:00:00Z,290.642
2020-02-08T17:00:00Z,291.313
2020-02-08T18:00:00Z,292.768
2020-02-08T19:00:00Z,293.711
2020-02-08T20:00:00Z,294.116
2020-02-08T21:00:00Z,294.292
2020-02-08T22:00:00Z,294.272
2020-02-08T23:00:00Z,294.536
2020-02-09T00:00:00Z,294.733
2020-02-09T01:00:00Z,294.516
2020-02-09T02:00:00Z,294.3
2020-02-09T03:00:00Z,293.746
2020-02-09T04:00:00Z,292.934
2020-02-09T05:00:00Z,291.909
2020-02-09T06:00:00Z,291.637
2020-02-09T07:00:00Z,291.48
2020-02-09T08:00:00Z,291.492
2020-02-09T09:00:00Z,291.56
2020-02-09T10:00:00Z,291.426
2020-02-09T11:00:00Z,291.238
2020-02-09T12:00:00Z,291.127
2020-02-09T13:00:00Z,290.964
2020-02-09T14:00:00Z,290.544
2020-02-09T15:00:00Z,290.265
2020-02-09T16:00:00Z,290.245
2020-02-09T17:00:00Z,290.824
2020-02-09T18:00:00Z,292.571
2020-02-09T19:00:00Z,293.588
2020-02-09T20:00:00Z,294.106
2020-02-09T21:00:00Z,294.12
2020-02-09T22:00:00Z,294.044
2020-02-09T23:00:00Z,293.899
2020-02-10T00:00:00Z,293.747
