x,y
2020-02-05T00:00:00Z,7.38928
2020-02-05T01:00:00Z,8.20627
2020-02-05T02:00:00Z,9.00261
2020-02-05T03:00:00Z,9.28443
2020-02-05T04:00:00Z,9.35032
2020-02-05T05:00:00Z,9.05946
2020-02-05T06:00:00Z,8.12212
2020-02-05T07:00:00Z,6.7768
2020-02-05T08:00:00Z,5.83036
2020-02-05T09:00:00Z,5.71674
2020-02-05T10:00:00Z,5.82917
2020-02-05T11:00:00Z,5.84773
2020-02-05T12:00:00Z,5.64511
2020-02-05T13:00:00Z,5.13222
2020-02-05T14:00:00Z,4.53954
2020-02-05T15:00:00Z,4.01169
2020-02-05T16:00:00Z,3.59441
2020-02-05T17:00:00Z,3.26644
2020-02-05T18:00:00Z,2.72825
2020-02-05T19:00:00Z,1.90862
2020-02-05T20:00:00Z,2.11619
2020-02-05T21:00:00Z,3.26778
2020-02-05T22:00:00Z,4.72788
2020-02-05T23:00:00Z,6.02346
2020-02-06T00:00:00Z,6.95057
2020-02-06T01:00:00Z,7.68459
2020-02-06T02:00:00Z,8.06633
2020-02-06T03:00:00Z,8.22006
2020-02-06T04:00:00Z,8.10855
2020-02-06T05:00:00Z,8.03288
2020-02-06T06:00:00Z,7.70724
2020-02-06T07:00:00Z,7.23119
2020-02-06T08:00:00Z,6.80716
2020-02-06T09:00:00Z,6.58431
2020-02-06T10:00:00Z,6.44909
2020-02-06T11:00:00Z,6.18378
2020-02-06T12:00:00Z,5.81817
2020-02-06T13:00:00Z,5.35635
2020-02-06T14:00:00Z,4.50472
2020-02-06T15:00:00Z,3.26089
2020-02-06T16:00:00Z,2.15779
2020-02-06T17:00:00Z,1.69218
2020-02-06T18:00:00Z,2.06034
2020-02-06T19:00:00Z,1.9661
2020-02-06T20:00:00Z,1.78386
2020-02-06T21:00:00Z,1.99566
2020-02-06T22:00:00Z,2.67142
2020-02-06T23:00:00Z,3.74226
2020-02-07T00:00:00Z,5.00453
2020-02-07T01:00:00Z,6.37624
2020-02-07T02:00:00Z,7.63856
2020-02-07T03:00:00Z,8.51241
2020-02-07T04:00:00Z,8.98533
2020-02-07T05:00:00Z,8.91306
2020-02-07T06:00:00Z,8.37768
2020-02-07T07:00:00Z,7.72717
2020-02-07T08:00:00Z,7.09907
2020-02-07T09:00:00Z,6.67213
2020-02-07T10:00:00Z,6.33126
2020-02-07T11:00:00Z,6.03958
2020-02-07T12:00:00Z,5.79859
2020-02-07T13:00:00Z,5.59515
2020-02-07T14:00:00Z,5.37855
2020-02-07T15:00:00Z,5.14242
2020-02-07T16:00:00Z,4.97293
2020-02-07T17:00:00Z,4.952
2020-02-07T18:00:00Z,5.42808
2020-02-07T19:00:00Z,5.50509
2020-02-07T20:00:00Z,5.41935
2020-02-07T21:00:00Z,5.53793
2020-02-07T22:00:00Z,6.02516
2020-02-07T23:00:00Z,6.7157
2020-02-08T00:00:00Z,7.48901
2020-02-08T01:00:00Z,8.18629
2020-02-08T02:00:00Z,8.46555
2020-02-08T03:00:00Z,8.29352
2020-02-08T04:00:00Z,7.82031
2020-02-08T05:00:00Z,7.23391
2020-02-08T06:00:00Z,6.83971
2020-02-08T07:00:00Z,6.67327
2020-02-08T08:00:00Z,6.69598
2020-02-08T09:00:00Z,6.89268
2020-02-08T10:00:00Z,7.28906
2020-02-08T11:00:00Z,7.56784
2020-02-08T12:00:00Z,7.43369
2020-02-08T13:00:00Z,7.11555
2020-02-08T14:00:00Z,6.47516
2020-02-08T15:00:00Z,5.61011
2020-02-08T16:00:00Z,4.77795
2020-02-08T17:00:00Z,4.05864
2020-02-08T18:00:00Z,3.7465
2020-02-08T19:00:00Z,3.20263
2020-02-08T20:00:00Z,2.98587
2020-02-08T21:00:00Z,3.24133
2020-02-08T22:00:00Z,3.71471
2020-02-08T23:00:00Z,4.45003
2020-02-09T00:00:00Z,5.3747
2020-02-09T01:00:00Z,6.4114
2020-02-09T02:00:00Z,7.42217
2020-02-09T03:00:00Z,8.00853
2020-02-09T04:00:00Z,7.89983
2020-02-09T05:00:00Z,7.33635
2020-02-09T06:00:00Z,6.5404
2020-02-09T07:00:00Z,5.83072
2020-02-09T08:00:00Z,5.54066
2020-02-09T09:00:00Z,5.28978
2020-02-09T10:00:00Z,5.09591
2020-02-09T11:00:00Z,4.83452
2020-02-09T12:00:00Z,4.53386
2020-02-09T13:00:00Z,4.06166
2020-02-09T14:00:00Z,3.56186
2020-02-09T15:00:00Z,3.05277
2020-02-09T16:00:00Z,2.76177
2020-02-09T17:00:00Z,2.90258
2020-02-09T18:00:00Z,3.63222
2020-02-09T19:00:00Z,3.93945
2020-02-09T20:00:00Z,3.73654
2020-02-09T21:00:00Z,3.26245
2020-02-09T22:00:00Z,2.72608
2020-02-09T23:00:00Z,2.67752
2020-02-10T00:00:00Z,3.34722
2020-02-10T01:00:00Z,4.30639
2020-02-10T02:00:00Z,5.26767
2020-02-10T03:00:00Z,6.38198
2020-02-10T04:00:00Z,7.4791
2020-02-10T05:00:00Z,8.18443
2020-02-10T06:00:00Z,8.32538
2020-02-10T07:00:00Z,8.22363
2020-02-10T08:00:00Z,7.85878
2020-02-10T09:00:00Z,7.4919
2020-02-10T10:00:00Z,7.19405
2020-02-10T11:00:00Z,6.75882
2020-02-10T12:00:00Z,6.41572
2020-02-10T13:00:00Z,6.03361
2020-02-10T14:00:00Z,5.6418
2020-02-10T15:00:00Z,5.27337
2020-02-10T16:00:00Z,5.13341
2020-02-10T17:00:00Z,5.16839
2020-02-10T18:00:00Z,5.83663
2020-02-10T19:00:00Z,6.33791
2020-02-10T20:00:00Z,6.58537
2020-02-10T21:00:00Z,6.92794
2020-02-10T22:00:00Z,7.35019
2020-02-10T23:00:00Z,7.86872
2020-02-11T00:00:00Z,8.40299
2020-02-11T01:00:00Z,8.82245
2020-02-11T02:00:00Z,8.96832
2020-02-11T03:00:00Z,8.98027
2020-02-11T04:00:00Z,9.05441
2020-02-11T05:00:00Z,9.04093
2020-02-11T06:00:00Z,8.95797
2020-02-11T07:00:00Z,8.59672
2020-02-11T08:00:00Z,8.24218
2020-02-11T09:00:00Z,8.04306
2020-02-11T10:00:00Z,7.85737
2020-02-11T11:00:00Z,7.68491
2020-02-11T12:00:00Z,7.48494
2020-02-11T13:00:00Z,7.18704
2020-02-11T14:00:00Z,7.06047
2020-02-11T15:00:00Z,6.80968
2020-02-11T16:00:00Z,6.12873
2020-02-11T17:00:00Z,6.23285
2020-02-11T18:00:00Z,6.91339
2020-02-11T19:00:00Z,6.02516
2020-02-11T20:00:00Z,5.31407
2020-02-11T21:00:00Z,5.66962
2020-02-11T22:00:00Z,6.65507
