x,y
2020-02-05T00:00:00Z,2.33019
2020-02-05T01:00:00Z,2.46032
2020-02-05T02:00:00Z,2.62492
2020-02-05T03:00:00Z,2.75505
2020-02-05T04:00:00Z,3.0333
2020-02-05T05:00:00Z,3.34308
2020-02-05T06:00:00Z,4.04512
2020-02-05T07:00:00Z,4.61617
2020-02-05T08:00:00Z,4.60727
2020-02-05T09:00:00Z,4.53314
2020-02-05T10:00:00Z,4.81059
2020-02-05T11:00:00Z,4.88294
2020-02-05T12:00:00Z,4.07826
2020-02-05T13:00:00Z,3.44441
2020-02-05T14:00:00Z,3.34128
2020-02-05T15:00:00Z,3.00578
2020-02-05T16:00:00Z,2.22587
2020-02-05T17:00:00Z,3.02413
2020-02-05T18:00:00Z,4.18189
2020-02-05T19:00:00Z,4.77331
2020-02-05T20:00:00Z,4.94799
2020-02-05T21:00:00Z,5.00833
2020-02-05T22:00:00Z,5.07991
2020-02-05T23:00:00Z,5.45545
2020-02-06T00:00:00Z,5.66695
2020-02-06T01:00:00Z,5.80439
2020-02-06T02:00:00Z,5.4852
2020-02-06T03:00:00Z,5.01942
2020-02-06T04:00:00Z,4.26974
2020-02-06T05:00:00Z,3.88011
2020-02-06T06:00:00Z,4.47933
2020-02-06T07:00:00Z,5.24882
2020-02-06T08:00:00Z,5.8538
2020-02-06T09:00:00Z,5.81266
2020-02-06T10:00:00Z,5.18534
2020-02-06T11:00:00Z,4.48168
2020-02-06T12:00:00Z,3.91616
2020-02-06T13:00:00Z,3.27254
2020-02-06T14:00:00Z,3.39188
2020-02-06T15:00:00Z,3.55009
2020-02-06T16:00:00Z,3.54913
2020-02-06T17:00:00Z,3.62447
2020-02-06T18:00:00Z,4.27806
2020-02-06T19:00:00Z,5.18188
2020-02-06T20:00:00Z,5.89149
2020-02-06T21:00:00Z,6.5782
2020-02-06T22:00:00Z,7.13026
2020-02-06T23:00:00Z,7.15102
2020-02-07T00:00:00Z,6.6741
2020-02-07T01:00:00Z,5.71913
2020-02-07T02:00:00Z,4.39871
2020-02-07T03:00:00Z,3.20178
2020-02-07T04:00:00Z,3.61603
2020-02-07T05:00:00Z,4.86317
2020-02-07T06:00:00Z,5.93746
2020-02-07T07:00:00Z,6.93512
2020-02-07T08:00:00Z,7.47757
2020-02-07T09:00:00Z,7.39958
