x,y
2020-02-05T00:00:00Z,3.35765
2020-02-05T01:00:00Z,3.23044
2020-02-05T02:00:00Z,3.00411
2020-02-05T03:00:00Z,2.24714
2020-02-05T04:00:00Z,2.12786
2020-02-05T05:00:00Z,2.36992
2020-02-05T06:00:00Z,2.49134
2020-02-05T07:00:00Z,2.47693
2020-02-05T08:00:00Z,2.36069
2020-02-05T09:00:00Z,2.26643
2020-02-05T10:00:00Z,2.28992
2020-02-05T11:00:00Z,2.37014
2020-02-05T12:00:00Z,2.3723
2020-02-05T13:00:00Z,2.32287
2020-02-05T14:00:00Z,2.23123
2020-02-05T15:00:00Z,2.29671
2020-02-05T16:00:00Z,2.28208
2020-02-05T17:00:00Z,2.00248
2020-02-05T18:00:00Z,1.28164
2020-02-05T19:00:00Z,2.14626
2020-02-05T20:00:00Z,2.90304
2020-02-05T21:00:00Z,3.87947
2020-02-05T22:00:00Z,4.44374
2020-02-05T23:00:00Z,4.71046
2020-02-06T00:00:00Z,4.83087
2020-02-06T01:00:00Z,4.89361
2020-02-06T02:00:00Z,4.78837
2020-02-06T03:00:00Z,3.94305
2020-02-06T04:00:00Z,3.5809
2020-02-06T05:00:00Z,3.30418
2020-02-06T06:00:00Z,3.21227
2020-02-06T07:00:00Z,3.1797
2020-02-06T08:00:00Z,3.15342
2020-02-06T09:00:00Z,3.14195
2020-02-06T10:00:00Z,2.93762
2020-02-06T11:00:00Z,2.70296
2020-02-06T12:00:00Z,2.57411
2020-02-06T13:00:00Z,2.67747
2020-02-06T14:00:00Z,2.70591
2020-02-06T15:00:00Z,2.4356
2020-02-06T16:00:00Z,2.43241
2020-02-06T17:00:00Z,2.19992
2020-02-06T18:00:00Z,1.82808
2020-02-06T19:00:00Z,2.85353
2020-02-06T20:00:00Z,3.27812
2020-02-06T21:00:00Z,3.51446
2020-02-06T22:00:00Z,3.64448
2020-02-06T23:00:00Z,3.76241
2020-02-07T00:00:00Z,3.90551
2020-02-07T01:00:00Z,3.9044
2020-02-07T02:00:00Z,3.68743
2020-02-07T03:00:00Z,3.15334
2020-02-07T04:00:00Z,2.96329
2020-02-07T05:00:00Z,3.02915
2020-02-07T06:00:00Z,2.68773
2020-02-07T07:00:00Z,2.60591
2020-02-07T08:00:00Z,2.3002
2020-02-07T09:00:00Z,2.22971
2020-02-07T10:00:00Z,1.94033
2020-02-07T11:00:00Z,1.85398
2020-02-07T12:00:00Z,1.94766
2020-02-07T13:00:00Z,2.02986
2020-02-07T14:00:00Z,2.00019
2020-02-07T15:00:00Z,1.99932
2020-02-07T16:00:00Z,1.96831
2020-02-07T17:00:00Z,1.78491
2020-02-07T18:00:00Z,1.16384
2020-02-07T19:00:00Z,1.76392
2020-02-07T20:00:00Z,1.97386
2020-02-07T21:00:00Z,2.24666
2020-02-07T22:00:00Z,2.51058
2020-02-07T23:00:00Z,2.87231
2020-02-08T00:00:00Z,2.97334
2020-02-08T01:00:00Z,2.79804
2020-02-08T02:00:00Z,2.43708
2020-02-08T03:00:00Z,1.75989
2020-02-08T04:00:00Z,1.52262
2020-02-08T05:00:00Z,2.3275
2020-02-08T06:00:00Z,2.82257
2020-02-08T07:00:00Z,2.67187
2020-02-08T08:00:00Z,2.44464
2020-02-08T09:00:00Z,2.43012
2020-02-08T10:00:00Z,2.52881
2020-02-08T11:00:00Z,2.64855
2020-02-08T12:00:00Z,2.60234
2020-02-08T13:00:00Z,2.54188
2020-02-08T14:00:00Z,2.57747
2020-02-08T15:00:00Z,2.75221
2020-02-08T16:00:00Z,2.83585
2020-02-08T17:00:00Z,2.43081
2020-02-08T18:00:00Z,2.12847
2020-02-08T19:00:00Z,2.60787
2020-02-08T20:00:00Z,3.53575
2020-02-08T21:00:00Z,3.7894
2020-02-08T22:00:00Z,3.97555
2020-02-08T23:00:00Z,4.1466
2020-02-09T00:00:00Z,4.2783
2020-02-09T01:00:00Z,4.36329
2020-02-09T02:00:00Z,4.33458
2020-02-09T03:00:00Z,3.84643
2020-02-09T04:00:00Z,3.3656
2020-02-09T05:00:00Z,3.18689
2020-02-09T06:00:00Z,2.48063
2020-02-09T07:00:00Z,2.30008
2020-02-09T08:00:00Z,2.35982
2020-02-09T09:00:00Z,2.41533
2020-02-09T10:00:00Z,2.49774
2020-02-09T11:00:00Z,2.53776
2020-02-09T12:00:00Z,2.52775
2020-02-09T13:00:00Z,2.54615
2020-02-09T14:00:00Z,2.90317
2020-02-09T15:00:00Z,2.83617
2020-02-09T16:00:00Z,2.72746
2020-02-09T17:00:00Z,2.52415
2020-02-09T18:00:00Z,2.31546
2020-02-09T19:00:00Z,3.05358
2020-02-09T20:00:00Z,3.51929
2020-02-09T21:00:00Z,3.55458
2020-02-09T22:00:00Z,3.50976
2020-02-09T23:00:00Z,3.36603
2020-02-10T00:00:00Z,3.07422
2020-02-10T01:00:00Z,2.81535
2020-02-10T02:00:00Z,2.41058
2020-02-10T03:00:00Z,1.72924
2020-02-10T04:00:00Z,1.61608
2020-02-10T05:00:00Z,1.93987
2020-02-10T06:00:00Z,1.83517
2020-02-10T07:00:00Z,1.6463
2020-02-10T08:00:00Z,1.44023
2020-02-10T09:00:00Z,1.68469
2020-02-10T10:00:00Z,2.09507
2020-02-10T11:00:00Z,2.40011
2020-02-10T12:00:00Z,2.6057
2020-02-10T13:00:00Z,2.61066
2020-02-10T14:00:00Z,2.48477
2020-02-10T15:00:00Z,2.51023
2020-02-10T16:00:00Z,2.56245
2020-02-10T17:00:00Z,2.24302
2020-02-10T18:00:00Z,1.18162
2020-02-10T19:00:00Z,1.00094
2020-02-10T20:00:00Z,1.41613
2020-02-10T21:00:00Z,2.08545
2020-02-10T22:00:00Z,2.53141
2020-02-10T23:00:00Z,2.76685
2020-02-11T00:00:00Z,2.91792
2020-02-11T01:00:00Z,2.94482
2020-02-11T02:00:00Z,2.8094
2020-02-11T03:00:00Z,2.13954
2020-02-11T04:00:00Z,1.73272
2020-02-11T05:00:00Z,2.20201
2020-02-11T06:00:00Z,2.34313
2020-02-11T07:00:00Z,2.22422
2020-02-11T08:00:00Z,2.13624
2020-02-11T09:00:00Z,2.34131
2020-02-11T10:00:00Z,2.62166
2020-02-11T11:00:00Z,2.60871
2020-02-11T12:00:00Z,2.4643
2020-02-11T13:00:00Z,2.33364
2020-02-11T14:00:00Z,2.21777
2020-02-11T15:00:00Z,2.14381
2020-02-11T16:00:00Z,2.05385
2020-02-11T17:00:00Z,1.96962
2020-02-11T18:00:00Z,1.52179
2020-02-11T19:00:00Z,1.4525
2020-02-11T20:00:00Z,1.59537
2020-02-11T21:00:00Z,1.50823
2020-02-11T22:00:00Z,1.45765
2020-02-11T23:00:00Z,1.40732
2020-02-12T00:00:00Z,1.37226
2020-02-12T01:00:00Z,1.40861
2020-02-12T02:00:00Z,1.5491
2020-02-12T03:00:00Z,1.53552
2020-02-12T04:00:00Z,1.7231
2020-02-12T05:00:00Z,2.21369
2020-02-12T06:00:00Z,2.16574
2020-02-12T07:00:00Z,1.7672
2020-02-12T08:00:00Z,1.41367
2020-02-12T09:00:00Z,1.65468
2020-02-12T10:00:00Z,1.79562
2020-02-12T11:00:00Z,1.60698
2020-02-12T12:00:00Z,1.43254
2020-02-12T13:00:00Z,1.6726
2020-02-12T14:00:00Z,2.0395
2020-02-12T15:00:00Z,2.07177
2020-02-12T16:00:00Z,1.94615
2020-02-12T17:00:00Z,1.7481
2020-02-12T18:00:00Z,0.582019
2020-02-12T19:00:00Z,0.913536
2020-02-12T20:00:00Z,1.45601
2020-02-12T21:00:00Z,1.75104
2020-02-12T22:00:00Z,2.10622
2020-02-12T23:00:00Z,2.46088
2020-02-13T00:00:00Z,2.85565
2020-02-13T01:00:00Z,3.0847
2020-02-13T02:00:00Z,3.18797
2020-02-13T03:00:00Z,3.06615
2020-02-13T04:00:00Z,2.34858
2020-02-13T05:00:00Z,2.35971
2020-02-13T06:00:00Z,2.22353
2020-02-13T07:00:00Z,2.01572
2020-02-13T08:00:00Z,1.8275
2020-02-13T09:00:00Z,1.91808
2020-02-13T10:00:00Z,1.8235
2020-02-13T11:00:00Z,1.70533
2020-02-13T12:00:00Z,1.57472
2020-02-13T13:00:00Z,1.3602
2020-02-13T14:00:00Z,1.31873
2020-02-13T15:00:00Z,1.45082
2020-02-13T16:00:00Z,1.60764
2020-02-13T17:00:00Z,1.57636
2020-02-13T18:00:00Z,1.17141
2020-02-13T19:00:00Z,1.49413
2020-02-13T20:00:00Z,2.08329
2020-02-13T21:00:00Z,2.3241
2020-02-13T22:00:00Z,2.59612
2020-02-13T23:00:00Z,2.877
2020-02-14T00:00:00Z,3.16128
2020-02-14T01:00:00Z,3.37385
2020-02-14T02:00:00Z,3.38386
2020-02-14T03:00:00Z,2.85725
2020-02-14T04:00:00Z,2.32079
2020-02-14T05:00:00Z,2.31608
2020-02-14T06:00:00Z,2.09859
2020-02-14T07:00:00Z,2.05984
2020-02-14T08:00:00Z,1.9446
2020-02-14T09:00:00Z,1.8514
2020-02-14T10:00:00Z,1.90187
2020-02-14T11:00:00Z,1.76081
2020-02-14T12:00:00Z,1.53641
2020-02-14T13:00:00Z,1.36338
2020-02-14T14:00:00Z,1.3462
2020-02-14T15:00:00Z,1.50264
2020-02-14T16:00:00Z,1.80661
2020-02-14T17:00:00Z,2.11127
2020-02-14T18:00:00Z,1.60178
2020-02-14T19:00:00Z,1.18124
2020-02-14T20:00:00Z,1.37333
2020-02-14T21:00:00Z,1.6888
2020-02-14T22:00:00Z,1.98263
2020-02-14T23:00:00Z,2.07335
2020-02-15T00:00:00Z,2.09559
2020-02-15T01:00:00Z,2.1656
2020-02-15T02:00:00Z,2.21419
2020-02-15T03:00:00Z,2.04861
2020-02-15T04:00:00Z,1.75248
2020-02-15T05:00:00Z,1.64441
2020-02-15T06:00:00Z,1.5314
2020-02-15T07:00:00Z,1.66018
2020-02-15T08:00:00Z,1.75477
2020-02-15T09:00:00Z,1.64108
2020-02-15T10:00:00Z,1.44053
2020-02-15T11:00:00Z,1.36752
2020-02-15T12:00:00Z,1.30051
2020-02-15T13:00:00Z,1.22921
2020-02-15T14:00:00Z,1.24264
2020-02-15T15:00:00Z,1.11385
2020-02-15T16:00:00Z,1.18579
2020-02-15T17:00:00Z,1.35214
2020-02-15T18:00:00Z,1.10428
2020-02-15T19:00:00Z,1.64797
2020-02-15T20:00:00Z,2.20275
2020-02-15T21:00:00Z,2.51376
2020-02-15T22:00:00Z,2.87924
2020-02-15T23:00:00Z,3.20866
2020-02-16T00:00:00Z,3.37691
2020-02-16T01:00:00Z,3.36014
2020-02-16T02:00:00Z,3.13339
2020-02-16T03:00:00Z,2.56864
2020-02-16T04:00:00Z,2.50158
2020-02-16T05:00:00Z,2.50634
2020-02-16T06:00:00Z,2.62035
2020-02-16T07:00:00Z,2.4333
2020-02-16T08:00:00Z,2.33804
2020-02-16T09:00:00Z,2.31307
2020-02-16T10:00:00Z,2.36681
2020-02-16T11:00:00Z,2.27958
2020-02-16T12:00:00Z,2.28758
2020-02-16T13:00:00Z,2.2967
2020-02-16T14:00:00Z,2.27228
2020-02-16T15:00:00Z,2.28272
2020-02-16T16:00:00Z,2.26079
2020-02-16T17:00:00Z,1.97204
2020-02-16T18:00:00Z,1.23374
2020-02-16T19:00:00Z,1.63617
2020-02-16T20:00:00Z,2.69323
2020-02-16T21:00:00Z,3.02736
2020-02-16T22:00:00Z,3.31561
2020-02-16T23:00:00Z,3.6592
2020-02-17T00:00:00Z,3.97596
2020-02-17T01:00:00Z,4.21255
2020-02-17T02:00:00Z,4.24543
2020-02-17T03:00:00Z,3.83239
2020-02-17T04:00:00Z,3.12746
2020-02-17T05:00:00Z,2.95027
2020-02-17T06:00:00Z,2.82658
2020-02-17T07:00:00Z,2.48351
2020-02-17T08:00:00Z,2.24305
2020-02-17T09:00:00Z,1.91507
2020-02-17T10:00:00Z,1.67395
2020-02-17T11:00:00Z,1.50716
2020-02-17T12:00:00Z,1.44603
2020-02-17T13:00:00Z,1.58032
2020-02-17T14:00:00Z,1.71455
2020-02-17T15:00:00Z,1.75636
2020-02-17T16:00:00Z,1.74762
2020-02-17T17:00:00Z,1.65933
2020-02-17T18:00:00Z,1.24208
2020-02-17T19:00:00Z,1.63549
2020-02-17T20:00:00Z,2.06621
2020-02-17T21:00:00Z,2.40292
2020-02-17T22:00:00Z,2.59098
2020-02-17T23:00:00Z,2.58489
2020-02-18T00:00:00Z,2.52458
2020-02-18T01:00:00Z,2.56442
2020-02-18T02:00:00Z,2.68067
2020-02-18T03:00:00Z,2.45317
2020-02-18T04:00:00Z,2.02838
2020-02-18T05:00:00Z,2.11526
2020-02-18T06:00:00Z,2.1935
2020-02-18T07:00:00Z,2.03203
2020-02-18T08:00:00Z,1.94792
2020-02-18T09:00:00Z,2.17151
2020-02-18T10:00:00Z,2.38051
2020-02-18T11:00:00Z,2.39073
2020-02-18T12:00:00Z,2.4032
2020-02-18T13:00:00Z,2.32454
2020-02-18T14:00:00Z,2.23785
2020-02-18T15:00:00Z,2.17651
2020-02-18T16:00:00Z,2.17055
2020-02-18T17:00:00Z,2.08304
2020-02-18T18:00:00Z,0.877303
2020-02-18T19:00:00Z,0.587643
2020-02-18T20:00:00Z,0.700016
2020-02-18T21:00:00Z,0.891887
2020-02-18T22:00:00Z,1.27274
2020-02-18T23:00:00Z,1.82399
2020-02-19T00:00:00Z,2.28423
2020-02-19T01:00:00Z,2.57752
2020-02-19T02:00:00Z,2.60145
2020-02-19T03:00:00Z,2.18173
2020-02-19T04:00:00Z,1.77138
2020-02-19T05:00:00Z,1.88961
2020-02-19T06:00:00Z,1.96141
2020-02-19T07:00:00Z,1.80907
2020-02-19T08:00:00Z,1.5677
2020-02-19T09:00:00Z,1.55681
2020-02-19T10:00:00Z,1.84813
2020-02-19T11:00:00Z,2.49685
2020-02-19T12:00:00Z,2.81621
2020-02-19T13:00:00Z,2.68046
2020-02-19T14:00:00Z,2.60019
2020-02-19T15:00:00Z,2.47453
